,CITY,TOTAL,POPULATION,1DOSE,2DOSE,avgOfDoses,diffOfDose,percOfDiff,percOfDose1,percOfDose2
0,Adana,2277255,2258718,1200938,898683,1049810.5,302255,74.83175651032776,53.16901003135407,39.78730412561462
1,Adıyaman,512358,632459,281609,197763,239686.0,83846,70.22609362626905,44.52604832882447,31.26890438747808
2,Afyon,804411,736912,407900,318609,363254.5,89291,78.10958568276538,55.35260655274985,43.235691642964156
3,Afyonkarahisar,600655,736912,351990,212191,282090.5,139799,60.28324668314441,47.765540525870115,28.7946186247476
4,Ağrı,359415,535435,212532,132933,172732.5,79599,62.54728699678166,39.69333345784269,24.827103196466425
5,Aksaray,396524,423011,210006,152898,181452.0,57108,72.80649124310735,49.64551749245292,36.14515934573805
6,Amasya,467513,335494,224803,187292,206047.5,37511,83.31383477978497,67.00656345568028,55.82573756907724
7,Ankara,6974024,5663322,3547427,2811042,3179234.5,736385,79.24171519244794,62.63862446811254,49.63592040148874
8,Antalya,3139878,2548308,1609762,1246406,1428084.0,363356,77.4279676126036,63.16983661315665,48.91112063376954
9,Ardahan,117320,96161,58942,45284,52113.0,13658,76.82806827050321,61.29511964309855,47.09185636588637
10,Artvin,235721,169501,111129,95235,103182.0,15894,85.69770266987014,65.56244505932118,56.185509230034036
11,Aydın,1566140,1119084,739828,626358,683093.0,113470,84.66265131895521,66.1101400788502,55.97059738142981
12,Balıkesir,1892420,1240285,870779,756738,813758.5,114041,86.90356565787646,70.20797639252268,61.013234861342355
13,Bartın,269061,198979,130301,110741,120521.0,19560,84.98860331079577,65.48479990350741,55.65461681886028
14,Batman,393352,620278,236940,138210,187575.0,98730,58.33122309445429,38.19900109305827,22.281944547444855
15,Bayburt,78483,81910,39366,30517,34941.5,8849,77.52121119748006,48.06006592601636,37.25674520815529
16,Bilecik,284603,218717,140296,115280,127788.0,25016,82.16912812909848,64.14499101578753,52.70737985616116
17,Bingöl,215375,281768,120706,79512,100109.0,41194,65.87245041671498,42.83878935862128,28.21896027937878
18,Bitlis,208718,350994,127795,70886,99340.5,56909,55.46852380766071,36.40945429266597,20.195786822566767
19,Bolu,404024,314802,197117,162608,179862.5,34509,82.49313859281543,62.61618414114268,51.65405556508536
20,Burdur,373994,267092,176746,147665,162205.5,29081,83.5464451812205,66.17420214757462,55.28619352133347
21,Bursa,3440090,3101833,1782423,1378063,1580243.0,404360,77.31402702949862,57.46353849481903,44.427375683990725
22,Çanakkale,842782,541548,393438,340446,366942.0,52992,86.53104173974044,72.65062376742227,62.86534157636996
23,Çankırı,241704,192428,111546,95490,103518.0,16056,85.60593835726965,57.96765543476001,49.623755378635124
24,Çorum,661132,530126,324434,267187,295810.5,57247,82.3548086821973,61.19941296974682,50.40065946586283
25,Denizli,1297276,1040915,652463,522788,587625.5,129675,80.12530978768145,62.6816790996383,50.22388955870556
26,Diyarbakır,1112854,1783431,656110,393896,525003.0,262214,60.035055097468415,36.78920014287068,22.08641657569034
27,Düzce,432070,395679,220272,173922,197097.0,46350,78.9578339507518,55.66936835161835,43.955327424503196
28,Edirne,635923,407763,295768,256097,275932.5,39671,86.58712233913067,72.53429075222617,62.80535507145082
29,Elazığ,557355,587960,287206,220159,253682.5,67047,76.6554319895824,48.84788080821825,37.44455405129601
30,Erzincan,270767,234431,131596,107043,119319.5,24553,81.34213805890757,56.13421433172234,45.66077011999266
31,Erzurum,689815,758279,367127,263913,315520.0,103214,71.88602309282619,48.415820562088626,34.80420794984432
32,Eskişehir,1205803,888828,588210,489350,538780.0,98860,83.193077302324,66.17815820383697,55.05564631177236
33,Gaziantep,1680924,2101157,967252,624704,795978.0,342548,64.58544412417861,46.03425636446967,29.73142892225569
34,Giresun,637499,448721,295548,257434,276491.0,38114,87.1039560409815,65.864534978305,57.370615594099675
35,Gümüşhane,136873,141702,64331,53323,58827.0,11008,82.88849854657941,45.39879465356876,37.63037924658791
36,Hakkari,225972,280514,148905,72434,110669.5,76471,48.64443772875323,53.0829120828194,25.821884112735905
37,Hatay,1550516,1659320,850720,600432,725576.0,250288,70.57927402670678,51.26919460984018,36.185425354964686
38,Iğdır,151901,201314,85833,57102,71467.5,28731,66.5268602984866,42.63637899003547,28.364644287034185
39,Isparta,580385,440304,279122,229913,254517.5,49209,82.37007473434555,63.393019368436356,52.21687743013918
40,İstanbul,16244144,15462452,8705069,6460602,7582835.5,2244467,74.216551299019,56.29811494321858,41.7825193572145
41,İzmir,5821888,4394694,2875606,2346688,2611147.0,528918,81.60672915552408,65.4335887777397,53.39821157058944
42,Kahramanmaraş,1031826,1168163,557687,396732,477209.5,160955,71.13882876954277,47.74051224015827,33.9620412562288
43,Karabük,298442,243614,145952,121443,133697.5,24509,83.20749287436966,59.911170950766376,49.85058329981036
44,Karaman,281286,254919,142474,110236,126355.0,32238,77.37271361792327,55.889910128315265,43.24354010489607
45,Kars,261871,284923,141405,101424,121414.5,39981,71.72589370955765,49.629198064038356,35.596985852318
46,Kastamonu,506319,376377,235521,206511,221016.0,29010,87.68262702688932,62.575821583146684,54.86812424776222
47,Kayseri,1506718,1421455,778583,593967,686275.0,184616,76.28820562483384,54.77366501225857,41.78584619280948
48,Kırıkkale,323070,278703,161152,128208,144680.0,32944,79.5571882446386,57.82212606251099,46.001657678604104
49,Kırklareli,536292,361737,258622,218175,238398.5,40447,84.36057257309896,71.49448356126136,60.3131556904602
50,Kırşehir,297824,243042,144483,119249,131866.0,25234,82.53496951198412,59.44774977164441,49.065182149587315
51,Kilis,136028,142792,77962,50227,64094.5,27735,64.42497627049076,54.59829682335145,35.17493977253628
52,Kocaeli,2105158,1997258,1110776,837615,974195.5,273161,75.4080930808732,55.615048231124874,41.93824733709916
53,Konya,2222999,2250020,1151945,858032,1004988.5,293913,74.48550060983814,51.19710047021804,38.13441658296371
54,Kütahya,686146,576688,341170,276262,308716.0,64908,80.97488055807955,59.16023915878257,47.90493299669839
55,Malatya,839009,806156,429977,326391,378184.0,103586,75.90894396677031,53.336699100422244,40.487325033864416
56,Manisa,1759924,1450616,896402,701514,798958.0,194888,78.25886153756908,61.794575545837084,48.359731314145165
57,Mardin,496673,854716,301745,172439,237092.0,129306,57.14726010372997,35.30353942128146,20.17500549890256
58,Mersin,2159645,1868757,1101676,845376,973526.0,256300,76.73544671936213,58.95234104808704,45.23734225477149
59,Muğla,1625310,1000773,772515,657458,714986.5,115057,85.10617916804205,77.19183071485742,65.69501775127826
60,Muş,246689,411117,147733,86520,117126.5,61213,58.5651140909614,35.93453931605845,21.045103948511006
61,Nevşehir,345044,304962,173058,137182,155120.0,35876,79.26937789642778,56.74739803647667,44.983309395924735
62,Niğde,375350,362071,187071,146582,166826.5,40489,78.35634598628329,51.66693825244219,40.48432489760296
63,Ordu,1013704,761400,489456,414722,452089.0,74734,84.7312117943186,64.28368794326241,54.468347780404514
64,Osmaniye,593061,548556,308010,232683,270346.5,75327,75.5439758449401,56.14923544724696,42.41736486338678
65,Rize,433118,344359,210427,171414,190920.5,39013,81.46007879217021,61.106868123092475,49.77770292049867
66,Sakarya,1100493,1042649,563455,437217,500336.0,126238,77.5957263667906,54.04071744182366,41.93328723280798
67,Samsun,1629163,1356079,817341,651598,734469.5,165743,79.72168287165331,60.27237351216264,48.05015047058468
68,Siirt,213407,331070,131509,73023,102266.0,58486,55.52699815221772,39.72241519920259,22.05666475367747
69,Sinop,298973,216460,137730,122004,129867.0,15726,88.58200827706382,63.628383997043336,56.36330037882288
70,Sivas,728546,635889,352405,288213,320309.0,64192,81.78459442970446,55.41926342490592,45.32441982798885
71,Şanlıurfa,1030902,2115256,646687,344821,495754.0,301866,53.3211584584196,30.572516990851224,16.30162022941904
72,Şırnak,365501,537762,224276,131889,178082.5,92387,58.80655977456348,41.705438465343406,24.52553360036596
73,Tekirdağ,1372954,1081065,694423,549242,621832.5,145181,79.09329040080758,64.23508299685959,50.80564073390592
74,Tokat,721224,597861,351216,289145,320180.5,62071,82.32683021274657,58.74542744885517,48.36324831357122
75,Trabzon,980828,811901,477412,396945,437178.5,80467,83.14516602012517,58.801750459723536,48.89081304247686
76,Tunceli,117663,83443,55391,47731,51561.0,7660,86.17103861638172,66.38184149659048,57.20192227029229
77,Uşak,460102,369433,230932,185290,208111.0,45642,80.2357403911108,62.50984616967082,50.155237891579795
78,Van,836988,1149342,495704,306782,401243.0,188922,61.888142924003034,43.12937315437876,26.691968100008527
79,Yalova,374695,276050,178281,148898,163589.5,29383,83.51871483781221,64.58286542293062,53.93877920666546
80,Yozgat,441466,419095,219118,174698,196908.0,44420,79.72781788807856,52.283611114425135,41.684582254620075
81,Zonguldak,743062,591204,366746,304020,335383.0,62726,82.89660964264095,62.0337480801889,51.42387399273347
